timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1777911462176,-0.122732,0.812764,0.456036,-0.22205,0.236405,-0.130725,0.1988,11.5612,1.568
1777911462236,-0.097356,0.772016,0.304512,-0.162796,0.35644,-0.115454,0.32424,20.7486,3.0352
1777911462295,-0.07198,0.74054,0.41114,-0.569326,0.727846,-0.0702495,0.200592,28.076,4.44976
1777911462355,-0.060512,0.730536,0.483608,-0.710742,0.41997,-0.291077,-0.105526,33.7644,5.49181
1777911462414,-0.085888,0.830332,0.658556,-0.47678,0.597426,-0.642936,-0.720021,37.884,6.42625
1777911462491,-0.136884,0.876448,0.73078,-0.308182,0.122784,-0.754113,-1.54202,40.8436,7.0982
1777911462550,-0.274988,0.969168,0.7991,0.315817,-0.0116064,-0.96028,-2.55241,42.9985,7.73376
1777911462610,-0.321348,0.93696,0.771772,0.501215,-0.486249,-0.748921,-3.45033,44.812,8.23101
1777911462669,-0.332084,0.907192,0.692472,0.719905,-0.769996,-0.61392,-3.88306,46.2404,8.58121
1777911462746,-0.356484,0.906704,0.583404,0.993267,-0.946841,-0.350331,-3.94925,47.6463,8.65976
1777911462755,-0.355508,0.917684,0.571204,1.01709,-0.888503,-0.335365,-4.0022,48.771,8.72261
1777911462814,-0.411872,0.894016,0.53802,1.13865,-0.970665,0.00794125,-3.73656,50.4268,8.66369
1777911462874,-0.324276,0.889624,0.49654,1.16767,-0.890336,0.126449,-3.04245,52.5019,8.48775
1777911462934,-0.314272,0.82838,0.396256,1.30267,-0.860404,0.136528,-1.91596,54.3243,7.9494
1777911463011,-0.359412,0.927444,0.272548,1.15912,-1.27365,0.254731,-0.729167,55.995,7.00912
1777911463073,-0.265228,0.853756,0.188612,0.850019,-1.03145,0.413556,1.14987,58.1996,5.9545
1777911463132,-0.330864,0.856196,0.16958,0.880257,-0.330784,0.496633,3.05629,60.1201,4.7076
1777911463192,-0.3904,0.935984,0.101748,0.785878,-0.167683,0.979522,4.80543,61.8189,3.54208
1777911463252,-0.274256,0.97478,0.08418,0.622777,0.221744,1.10903,6.73675,63.3235,2.23166
1777911463278,-0.245708,0.96868,0.115168,0.558331,0.349415,1.10964,8.8306,64.768,0.72693
1777911463288,-0.250832,0.96258,0.116144,0.641409,0.36377,1.0681,10.5057,65.9236,-0.476856
1777911463296,-0.227896,0.975268,0.105164,0.739452,0.353691,1.03206,11.8457,66.8481,-1.43989
1777911463323,-0.1952,0.993568,0.0305,0.785878,0.335976,1.09589,12.9178,67.5877,-2.21031
1777911463383,0.055144,0.932568,-0.020496,0.642936,0.577573,0.683558,14.4754,68.2297,-3.30545
1777911463442,0.186416,0.865224,-0.099796,0.533896,0.24679,0.43402,16.0071,68.7322,-4.37196
1777911463503,0.12322,0.929152,-0.07564,0.632551,0.708298,0.400422,17.3557,69.1286,-5.41557
1777911463563,0.280356,0.950624,-0.166652,0.664621,0.739758,-0.262367,18.2834,69.72,-6.47165
1777911463640,0.142984,0.877668,-0.098332,0.51221,0.743118,-0.104153,19.0815,70.294,-7.84572
1777911463703,0.194956,0.820816,-0.10004,0.164017,0.623388,-0.216246,19.3392,70.882,-9.12978
1777911463762,0.211304,0.75274,-0.184708,0.192117,0.632246,-0.343612,19.3494,71.4196,-9.87982
1777911463772,0.210816,0.754448,-0.194224,0.113621,0.629497,-0.338725,19.3575,71.8497,-10.4799
1777911463782,0.2013,0.74542,-0.131028,0.0290161,0.642019,-0.247706,19.1736,72.1826,-11.2287
1777911463859,0.239364,0.749812,-0.186416,-0.274584,0.633162,-0.247706,18.9761,72.4209,-11.8893
1777911463919,0.171532,0.820572,-0.16104,-0.332922,0.791071,-0.51893,18.6725,72.6507,-12.0427
1777911463979,0.148108,0.862296,-0.107116,-0.721737,0.600481,-0.354913,18.2224,72.7897,-11.8237
1777911464039,0.181536,0.8357,-0.028304,-1.06352,0.573908,-0.390343,17.3527,72.4866,-11.0802
1777911464099,0.225944,0.855464,0.069784,-1.1973,0.646295,-0.323148,16.5506,72.2553,-10.2754
1777911464177,0.135908,0.947208,0.169824,-1.24189,0.336587,-0.564745,15.4888,71.8406,-8.70749
1777911464239,0.062952,1.05359,0.288164,-1.0684,0.31429,-0.909578,14.0067,70.9153,-6.85119
1777911464248,0.058072,1.03505,0.286944,-1.0626,0.266032,-0.792598,12.8209,70.175,-5.36615
1777911464309,-0.050508,1.20048,0.320372,-0.859182,0.252593,-1.0736,11.6316,69.3868,-3.94852
1777911464369,-0.252052,1.35737,0.392596,-0.841467,0.0320704,-0.576046,10.2432,68.3251,-2.83682
1777911464446,-0.221308,1.27051,0.526064,-0.434325,-0.123089,0.0335976,8.94779,67.3189,-1.28945
1777911464507,-0.098088,1.12484,0.432856,0.10965,-0.172875,0.339336,8.12983,66.4075,-0.146762
1777911464567,-0.092476,1.06555,0.386252,0.790765,0.0152716,0.216857,7.59867,65.7736,0.76179
1777911464626,-0.1098,1.00064,0.35746,0.898583,0.0546724,0.355829,7.33613,65.5297,1.29823
1777911464686,-0.095404,0.931348,0.21716,0.768468,-0.258701,0.625831,7.23251,65.6201,0.881786
1777911464763,-0.09638,0.868884,0.151036,0.763887,-0.0326813,0.673784,7.57521,66.2133,0.389029
1777911464823,0.047824,0.848632,0.054412,0.7309,0.299019,0.570854,8.07896,66.9566,0.0984228
1777911464883,0.00854,0.872056,0.033428,0.555277,0.315512,0.403477,8.71717,67.6353,-0.548462
1777911464942,0.121756,0.930128,0.000976,0.454178,0.448375,0.411723,9.39574,68.3239,-1.82477
1777911465001,0.074664,0.939888,-0.037332,0.200058,0.302073,0.417526,10.2858,68.8747,-2.87102
1777911465078,0.104676,0.904996,0.010736,0.192728,0.584598,0.367741,11.177,69.433,-3.94041
1777911465138,0.1281,0.908656,-0.023912,0.305738,0.824057,0.385151,12.1084,70.0308,-4.71193
1777911465197,0.182024,0.898164,-0.0183,0.221439,0.757473,0.32498,12.8199,70.4866,-5.65114
1777911465256,0.190564,0.88572,0.008052,0.230602,0.860098,0.259923,13.2716,70.9465,-6.69092
1777911465316,0.196664,0.861564,-0.03538,0.200975,0.817338,0.10965,13.644,71.3312,-7.54513
1777911465342,0.220088,0.868884,-0.0549,0.189674,0.858571,0.045204,13.942,71.639,-7.51171
1777911465401,0.257176,0.823988,-0.089304,0.0216857,0.817338,0.188147,14.018,71.9972,-8.32496
1777911465461,0.302804,0.783728,-0.048312,-0.191812,0.87201,0.140194,14.1404,72.1045,-9.03157
1777911465520,0.4087,0.832772,0.073932,-0.600786,0.693027,0.0427606,14.0535,72.2632,-9.08726
1777911465597,0.298412,0.864736,0.086864,-0.418137,0.853379,-0.152716,13.8944,72.3342,-8.63061
1777911465657,0.29036,0.88328,0.067344,-0.934318,0.602008,-0.112094,13.3471,72.2901,-8.01048
