timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1777909926228,-0.01342,0.969168,0.074908,-0.238237,0.0290161,0.0332922,1.3356,14.2772,-0.392
1777909926238,-0.008052,0.968924,0.065392,-0.187387,0.0243242,0.044144,2.40408,25.699,-0.7056
1777909926304,0.02684,0.910852,0.033672,-0.12233,0.211249,0.0453657,3.38766,34.7244,-0.88368
1777909926331,0.02806,0.893772,0.098332,-0.0942298,0.248817,-0.0435152,4.17453,41.9447,-1.02614
1777909926396,0.014152,0.763232,0.04636,-0.143404,0.112594,0.0313158,4.65843,47.777,-1.05892
1777909926407,0.037332,0.75396,0.027328,-0.129583,0.119411,0.0169757,5.04554,52.4428,-1.08513
1777909926469,-0.0488,0.79666,0.08052,-0.453952,0.300532,-0.293649,5.40003,55.817,-0.980106
1777909926550,0.050508,0.72468,0.128344,-0.570628,0.324661,-0.453085,5.58283,58.5388,-0.560085
1777909926561,-0.052948,0.840092,0.085156,-0.643626,0.415986,-0.735916,5.72906,60.7162,-0.224068
1777909926623,-0.016348,0.77714,0.237656,-0.851931,0.530217,-1.03493,5.29165,62.027,0.167946
1777909926693,-0.326472,1.02675,0.23546,-0.684859,0.59894,-0.98637,3.95612,62.8628,0.711157
1777909926724,-0.242536,0.901824,0.299632,-1.23128,0.15759,-0.493708,2.8877,63.5314,1.86253
1777909926735,-0.240584,0.937936,0.2928,-1.24533,0.230283,-0.729196,1.75296,63.512,2.29362
1777909926800,-0.365512,0.961848,0.41968,-1.24197,0.530217,-0.414906,0.637965,63.194,3.0333
1777909926862,-0.380152,1.0226,0.38308,-0.602087,0.51464,-0.559681,-0.287628,62.654,3.61384
1777909926940,-0.287188,0.945744,0.526796,-0.716014,-0.0278079,-0.367258,-1.3697,61.5164,4.01107
1777909926999,-0.312564,0.975512,0.49654,-0.278023,0.0800098,-0.418266,-2.39776,60.3431,4.51366
1777909927059,-0.426512,1.04896,0.510936,-0.143633,-0.0333057,-0.355957,-3.45541,59.3317,5.04452
1777909927120,-0.455548,1.05872,0.549976,-0.0241021,0.120407,0.00257637,-4.18393,58.3769,5.58122
1777909927146,-0.477508,1.05994,0.55632,0.014441,0.102167,0.0394699,-4.76674,57.6132,5.68298
1777909927155,-0.444324,1.05896,0.550952,0.159521,0.0734562,0.178136,-5.37299,56.9517,5.76438
1777909927215,-0.441396,1.04603,0.441396,0.55353,0.0172566,0.250829,-5.76279,56.7026,5.9863
1777909927275,-0.37332,1.00967,0.406016,0.655849,0.05849,0.379416,-5.89544,56.7273,6.12184
1777909927352,-0.290848,1.0004,0.305976,0.758169,-0.0926991,0.462799,-6.04075,57.363,5.82427
