timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1777909767113,0.104432,0.876204,0.072224,-0.222355,0.0128282,-0.10965,1.666,13.9692,-1.162
1777909767172,0.16226,0.844728,0.057584,-0.241903,0.0555887,-0.199142,3.0268,25.1558,-2.0972
1777909767231,0.046604,0.836676,0.095648,-0.22266,0.0846048,-0.494801,4.14904,33.9874,-2.71096
1777909767291,0.104676,0.813496,0.115168,-0.353691,0.208305,-0.574213,4.81723,41.0023,-3.23557
1777909767368,-0.006588,0.928176,0.094916,-0.276111,-0.0855211,-0.193644,5.02699,46.4967,-3.29685
1777909767427,-0.039772,0.92964,0.149572,-0.28619,-0.172569,-0.808786,5.05479,50.7689,-3.35708
1777909767486,-0.147864,0.960384,0.168116,-0.642019,-0.355524,-0.945619,4.75783,54.0019,-3.18127
1777909767546,-0.140544,1.08287,0.33184,-1.9169,-1.09895,-0.564439,4.44186,56.174,-2.30421
1777909767605,-0.37332,1.09532,0.3233,-0.336587,-0.195782,-0.937984,4.13869,57.5196,-0.952971
1777909767682,-0.437492,1.09336,0.288896,-0.231518,-0.00458149,-0.536951,3.75055,58.3273,0.380024
1777909767691,-0.488244,1.04578,0.279868,-0.166461,0.00702495,-0.474948,3.41204,58.9734,1.44642
1777909767703,-0.503616,1.02748,0.270108,-0.135001,0.0965167,-0.38851,3.14123,59.4903,2.29954
1777909767762,-0.47946,1.00674,0.278892,-0.139277,0.401644,0.0180205,2.64459,59.9039,2.96243
1777909767839,-0.461892,0.936472,0.302072,-0.242819,0.743728,0.433714,2.19687,60.0723,3.49834
1777909767899,-0.332328,0.899384,0.301096,-0.1799,0.983799,0.506713,1.8611,60.1958,3.87667
1777909767958,-0.317444,0.880596,0.318908,-0.144775,1.13651,0.589485,1.51408,60.2051,4.08974
1777909768017,-0.22936,0.894504,0.306708,-0.281609,1.28893,0.584903,1.20286,60.4365,4.31059
1777909768094,-0.093696,0.849364,0.295728,-0.462425,1.39338,0.724792,0.399489,60.6272,3.97487
1777909768103,-0.030988,0.849364,0.41602,-0.748921,1.2425,0.70952,-0.243209,60.7797,3.7063
1777909768162,0.021472,0.935008,0.53802,-0.788016,1.0122,0.524733,-0.802167,60.8626,3.90304
1777909768221,0.012932,0.9638,0.586576,-0.381485,0.780686,0.488387,-1.41173,60.8057,3.95683
1777909768281,0.085644,0.933056,0.68686,-0.289856,0.202196,0.38118,-1.66979,60.6257,4.54587
1777909768358,0.057584,1.04164,0.571448,0.275806,-0.205556,0.142026,-1.81463,60.3978,4.66709
1777909768417,0.033672,1.02163,0.493612,0.052229,-0.640492,0.149357,-1.7737,60.3218,4.97967
1777909768476,0.040016,1.06116,0.343064,0.505186,-0.283441,0.0143553,-1.38256,61.0899,5.08414
1777909768536,-0.024644,0.998448,0.322324,0.500604,-0.601091,0.363465,-0.64965,61.5027,5.01931
1777909768595,0.005612,0.951112,0.268644,0.579406,-0.358883,0.226326,0.32308,62.141,4.73225
1777909768672,0.00244,0.945988,0.221064,0.453873,-0.719294,0.216857,1.44846,62.7636,4.4634
1777909768731,-0.094184,0.960384,0.221796,0.701273,-0.328951,0.12034,2.63997,63.6817,3.96832
1777909768790,0.045628,0.852048,0.193736,0.277638,-0.361938,0.0739147,3.91238,64.5001,3.22506
1777909768850,0.072712,0.805444,0.122244,0.328035,-0.0959058,0.0690278,5.0087,65.3173,2.45404
1777909768926,0.074176,0.688812,0.007808,0.217163,0.0772745,-0.295659,5.90256,65.9542,1.91284
1777909768935,0.035868,0.763476,0.07198,0.203418,0.0103847,-0.204029,6.64565,66.5254,1.48547
1777909768995,0.062708,0.770796,0.160796,-0.318566,-0.0702495,-0.295964,7.15612,66.8255,1.05397
1777909769054,-0.00854,0.78934,0.105164,-0.0708604,0.205556,-0.200364,7.5141,67.0376,0.48478
1777909769130,0.061488,0.843752,0.213988,-0.18387,0.432493,-0.359189,7.52048,67.4145,0.903024
1777909769139,0.000488,0.860344,0.210328,-0.29291,0.150884,-0.351858,7.54798,67.5704,0.655219
1777909769198,0.056852,0.865956,0.195444,-0.390954,-0.0219911,-0.456622,7.49719,67.6223,0.896575
1777909769258,0.006832,0.858148,0.174216,-0.482889,0.153327,-0.499993,7.32775,67.3727,0.87966
1777909769317,0.008784,0.817644,0.1586,-0.506713,0.20128,-0.648128,7.0634,67.0889,1.36453
1777909769394,-0.12444,0.887672,0.271572,-0.850019,0.283136,-0.495717,6.45992,66.5819,2.37402
1777909769403,-0.139568,0.881084,0.359168,-0.940122,0.354913,-0.407142,5.74194,66.0868,2.87922
1777909769462,-0.197396,0.89182,0.407236,-0.668592,0.615752,-0.325286,5.07235,65.3042,3.58017
1777909769521,-0.270352,0.88572,0.474824,-0.827112,0.201586,-0.0427606,4.17828,64.415,4.15214
1777909769580,-0.102968,0.857172,0.565836,-0.904081,0.323148,-0.176845,3.37342,63.334,4.73011
1777909769657,-0.19642,0.876204,0.601216,-0.802066,0.291688,0.0357356,2.67914,61.59,5.60129
1777909769717,-0.10736,1.04749,0.658312,-0.843299,0.0302378,-0.108429,1.97811,60.2732,6.68183
1777909769776,-0.162504,1.02675,0.748348,-0.43066,0.181732,-0.0467312,1.41729,58.9509,7.91306
1777909769835,-0.193004,0.899628,0.719068,-0.229991,0.197615,0.143859,0.957431,57.798,8.90925
1777909769912,-0.10004,0.84424,0.654652,0.0235183,0.167072,0.0546724,0.606345,56.7804,9.6334
1777909769971,-0.182756,0.874496,0.577548,0.19792,0.0626137,-0.0638354,0.291876,56.2015,10.1651
1777909770030,-0.137372,0.79544,0.562176,0.178984,0.0299324,-0.0552833,0.135501,55.8336,10.3497
1777909770090,-0.14884,0.784704,0.527772,0.0998765,0.00824668,-0.177456,-0.1408,55.5001,10.6262
1777909770149,-0.121756,0.801296,0.5002,0.0966964,-0.0288287,-0.0177177,-0.37864,55.4853,10.8529
