timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1777909534650,-0.332328,0.50386,0.703208,-0.153633,0.280693,-0.0146608,-3.4356,9.6068,0.8288
1777909534710,-0.33428,0.553148,0.60634,-0.225715,0.332005,-0.0986547,-6.27368,17.1522,1.30144
1777909534769,-0.18788,0.454816,0.666608,-0.215025,0.761138,-0.528093,-8.77374,23.0766,1.66555
1777909534831,-0.266936,0.438468,0.628056,-0.296575,0.629802,-0.806648,-11.0426,27.3121,1.99324
1777909534891,-0.338184,0.394792,0.74908,-0.214414,0.712269,-1.47188,-13.5745,30.4093,2.08459
1777909534919,-0.374052,0.39894,0.65392,-0.215941,0.594066,-1.59833,-15.6,32.887,2.15767
1777909534979,-0.492636,0.378444,0.643672,-0.48014,0.657596,-1.55801,-17.4556,34.1468,1.10454
1777909535039,-0.697352,0.39162,0.837408,0.415694,0.858877,-2.11207,-19.3545,33.777,0.220032
1777909535100,-0.759816,0.273524,0.681004,-0.125227,-0.411418,-1.35459,-20.9576,32.8988,-0.579975
1777909535127,-0.833992,0.277672,0.699548,0.139888,-0.24343,-1.44622,-22.2401,32.1963,-1.21998
1777909535189,-0.773724,0.288408,0.910608,-0.288328,-0.523206,-0.535729,-22.9636,30.7886,-1.12718
1777909535198,-0.764208,0.21838,0.97234,-0.254425,-0.518014,-0.544892,-23.5425,29.6625,-1.05295
1777909535275,-0.915976,0.400648,0.94794,0.388816,-0.620944,-0.429438,-23.7256,28.4704,-0.663158
1777909535335,-0.898164,0.31842,0.852536,1.07634,-0.746172,-0.437074,-23.6649,27.6903,-0.104926
1777909535394,-0.848876,0.316712,1.00211,0.975552,-0.629802,-0.0699441,-23.0115,27.2679,0.876459
1777909535453,-0.779336,0.346236,0.836188,1.37903,-0.801455,0.284663,-22.2424,27.4003,2.09277
1777909535512,-0.761036,0.411384,0.801052,2.21042,0.0913244,-0.121257,-21.4759,28.083,2.92581
1777909535589,-0.681004,0.415044,0.626592,1.24678,-0.786184,0.632551,-20.7787,29.8276,4.39865
1777909535649,-0.587308,0.487268,0.539972,1.13102,-0.971276,0.845743,-19.409,31.8673,5.60492
1777909535708,-0.5002,0.522648,0.58316,1.01343,-0.90744,0.968221,-17.9324,34.0814,6.72114
1777909535767,-0.417484,0.564372,0.630252,0.866512,-0.710131,0.953561,-16.3087,36.4632,7.67291
1777909535827,-0.33062,0.632936,0.656848,0.493579,-0.872316,0.767552,-14.4442,38.7549,8.46233
1777909535903,-0.290848,0.656604,0.53924,0.766941,-0.715323,1.44653,-12.4205,40.9243,9.09106
1777909535963,-0.1159,0.6466,0.511424,1.0571,0.284052,1.22478,-9.44643,43.8247,9.42605
1777909536022,-0.038308,0.656604,0.567056,0.829555,0.437685,1.28526,-7.08954,46.5873,9.36084
1777909536081,-0.020984,0.725412,0.508252,0.740369,0.366214,1.43981,-4.72804,49.3519,8.83547
1777909536141,0.152744,0.609512,0.366,0.864985,0.668592,1.16217,-2.50283,51.7819,8.11558
1777909536217,0.22936,0.653432,0.424804,0.249233,0.508545,0.84727,-0.386663,54.2355,7.33806
1777909536277,0.243512,0.674416,0.339404,0.235489,0.979522,0.581544,1.46867,56.4448,6.52565
1777909536336,0.217892,0.664168,0.346236,-0.159436,0.977384,0.41325,2.89134,58.2234,5.82812
1777909536396,0.246684,0.729804,0.4209,-0.521984,0.812756,0.385761,4.13587,59.6744,5.3485
1777909536455,0.318176,0.84058,0.566568,-0.784962,0.474948,0.359189,4.7899,60.5831,5.3456
1777909536481,0.38186,0.742248,0.57706,-0.743423,0.634384,0.106291,5.31312,61.3101,5.34328
1777909536541,0.276208,0.826672,0.67588,-0.429438,0.930042,-0.135001,5.56929,61.7629,5.59062
1777909536600,0.305244,0.792756,0.572668,-0.484111,0.185703,0.15516,5.50543,61.8283,5.6457
1777909536659,0.248148,0.808616,0.550708,-0.299935,0.383623,-0.154549,5.37595,61.7126,5.86336
1777909536736,0.233508,0.75518,0.553392,-0.492357,0.240681,-0.305738,5.20516,61.4465,6.23909
1777909536795,0.132492,0.916952,0.642696,-0.38118,0.529926,-0.332005,4.93973,61.2,6.77207
1777909536854,0.155184,0.918172,0.743468,-0.209221,0.358272,-0.3317,4.44738,60.7956,7.10606
1777909536914,0.083448,0.94672,0.731024,0.0766636,0.11973,-0.099571,3.6391,60.1361,7.14644
1777909536973,0.08906,0.829356,0.612928,0.186619,-0.0800233,0.0235183,3.05968,59.7093,7.35236
1777909536999,0.083692,0.804712,0.582428,0.193339,0.0320704,0.106291,2.59615,59.3678,7.51709
1777909537059,0.113704,0.74542,0.60268,0.299629,0.0149662,0.0901026,2.25892,59.3411,7.47527
1777909537118,0.127612,0.735172,0.580232,0.171171,0.0534533,0.0384383,2.18513,59.4036,7.29901
1777909537177,0.113704,0.721752,0.563396,0.173919,0.0806368,-0.0757935,2.17091,59.5321,7.05721
1777909537254,0.132248,0.736148,0.560956,0.00403007,0.0192217,-0.106051,2.07553,59.6629,6.71257
1777909537263,0.109312,0.79178,0.551684,-0.0286512,0.106575,-0.081311,1.99922,59.9467,6.71686
1777909537322,0.0976,0.826184,0.59048,-0.0399522,0.0952744,-0.107273,1.84858,59.9778,6.70628
1777909537382,0.091012,0.840092,0.565592,-0.0302718,0.0128926,0.0203555,1.71686,60.0418,6.50183
1777909537441,0.10858,0.798124,0.586576,-0.0950235,0.0412979,-0.020267,1.73469,60.1379,6.36346
