timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1777911510929,0.011224,0.977708,-0.124928,-0.0949895,0.045204,-0.152411,3.2284,14.6244,-2.4416
1777911510988,-0.01586,1.00211,-0.12688,-0.056156,0.0927925,-0.0624623,5.80552,26.3239,-4.30528
1777911511048,-0.007808,0.970144,-0.113704,-0.0203775,0.0924341,-0.0875385,7.88402,35.6891,-5.76822
1777911511107,-0.052704,0.997716,-0.146644,-0.0350382,0.119312,-0.0927309,9.51321,43.3381,-7.04778
1777911511184,-0.152256,1.01602,-0.125416,-0.0115199,0.295547,-0.0722669,10.7886,49.3565,-8.00982
1777911511243,-0.131028,1.02846,-0.156648,0.0324624,0.606783,-0.0863168,11.6689,54.2048,-8.48266
1777911511303,-0.117852,1.00138,-0.129564,-0.00144063,0.686195,0.125959,12.4627,58.0666,-9.16333
1777911511362,-0.034648,0.9882,-0.062708,0.0495666,0.903969,0.140009,13.0193,61.2905,-9.85066
1777911511421,-0.013664,0.942328,-0.097356,0.108515,0.993766,0.154975,13.3807,63.7352,-10.1345
1777911511498,0.091988,0.96502,-0.107848,-0.0438958,0.867011,0.0450193,13.5409,65.8646,-10.5604
1777911511558,0.06222,0.999668,-0.136152,-0.0451175,0.822724,-0.0313389,13.7028,67.3944,-11.1335
1777911511617,0.114924,0.998692,-0.106872,-0.103761,0.760415,0.0831983,13.7034,68.596,-11.4604
1777911511676,0.139568,0.9882,-0.09882,0.0419308,0.737508,0.194376,13.5863,69.5628,-11.5539
1777911511736,0.128832,0.873764,-0.182512,0.0526209,0.580516,0.383744,13.5151,70.409,-11.6652
1777911511766,0.20984,0.881816,-0.14396,-0.0298459,0.603728,0.428032,13.5812,71.086,-11.7541
1777911511826,0.271084,0.897676,-0.14762,0.0758338,0.477585,0.227057,13.735,71.706,-11.9009
1777911511885,0.340624,0.862052,-0.165432,-0.294961,0.16024,0.173301,13.9084,72.3028,-11.9847
1777911511944,0.269376,0.873276,-0.125172,-0.279995,0.104041,-0.196273,14.2543,72.4947,-11.8922
1777911512021,0.124928,0.865956,-0.087352,-0.448899,0.151383,-0.452531,14.2791,72.7433,-11.8937
1777911512081,0.077104,0.814716,-0.10248,-0.61536,0.224686,-0.338604,14.114,72.7743,-11.5786
1777911512140,0.076616,0.783484,0.003904,-0.93301,0.133057,-0.287291,13.87,72.8998,-10.5873
1777911512200,0.07076,0.865712,0.017812,-1.09,0.275694,-0.405188,13.4228,72.5634,-9.66542
1777911512259,0.036112,0.87962,0.073444,-0.962332,0.383511,-0.57562,12.7683,71.9976,-8.33714
1777911512336,-0.041968,0.860832,0.20618,-1.18652,0.271418,-0.393582,11.987,71.3712,-7.06731
1777911512396,-0.01098,0.958676,0.249124,-1.26899,0.301961,-0.407937,11.3284,70.2766,-5.10225
1777911512455,-0.000732,0.90402,0.362096,-1.28517,0.384122,-0.429928,10.4207,69.0145,-3.1522
1777911512514,-0.09638,0.941596,0.521916,-1.45622,0.293409,-0.317224,9.44258,67.5736,-1.06576
1777911512591,-0.0305,0.918904,0.593896,-1.11352,0.241791,-0.514228,8.66566,65.9561,1.01779
1777911512650,0.000244,0.887916,0.64172,-0.707295,0.407946,-0.735667,7.46733,63.9733,3.07104
1777911512710,-0.001708,0.868152,0.63562,-0.75647,0.0658615,-0.682216,6.30147,61.9726,4.86203
1777911512769,-0.131028,0.83448,0.676368,-0.359408,0.0515062,-0.973599,5.16717,60.2713,6.34242
1777911512829,-0.065636,0.834968,0.6527,-0.40003,-0.149163,-0.782398,3.92374,58.507,7.49874
1777911512906,-0.241804,0.778604,0.749568,-0.450732,-0.38343,-0.884718,2.87859,56.8156,8.70099
1777911512965,-0.232776,0.683932,0.743956,-0.255866,-0.515377,-1.03621,2.04807,55.0201,9.84199
1777911513024,-0.219844,0.658312,0.760548,-0.139802,-0.619224,-1.02491,1.52926,53.2477,10.654
1777911513084,-0.371856,0.727608,0.777872,0.0620894,-0.638466,-1.1199,1.17021,51.7121,11.5864
1777911513143,-0.395036,0.707844,0.835944,0.0791936,-0.763083,-0.910069,1.16857,50.4333,12.4303
1777911513220,-0.38308,0.717604,0.81374,0.254206,-0.575242,-0.502927,1.24005,49.3207,13.0999
1777911513279,-0.353556,0.648308,0.805688,0.548338,-0.781103,-0.543855,1.79004,48.7553,14.1143
1777911513339,-0.393572,0.69662,0.73322,0.602094,-0.614337,-0.452225,2.62203,48.3311,14.7102
1777911513398,-0.298168,0.731756,0.76494,0.3663,-0.81073,-0.173671,3.47243,48.3276,15.2822
1777911513457,-0.238876,0.679052,0.753228,0.571856,-0.651294,-0.307755,4.58394,48.4145,15.5269
1777911513534,-0.285236,0.71736,0.66368,0.859879,-0.607312,-0.182833,6.03315,48.9712,15.5268
1777911513594,-0.275476,0.762744,0.644892,0.729154,-0.401756,-0.0200379,7.36052,49.9038,15.5098
1777911513653,-0.228872,0.782264,0.573888,0.813454,-0.303101,0.0184466,8.70242,50.9242,15.5102
1777911513712,-0.223016,0.789828,0.536556,0.71205,-0.390455,0.282951,10.4703,52.2222,14.7658
1777911513792,-0.195688,0.819108,0.436028,0.717548,-0.260951,0.143674,11.7279,53.6749,13.9658
1777911513803,-0.18544,0.782508,0.444568,0.655545,-0.0923526,0.231028,12.7339,54.8372,13.3259
1777911513863,-0.130296,0.785924,0.385032,0.512908,-0.0941852,0.276537,13.8187,56.7469,12.3631
1777911513925,-0.087108,0.795196,0.349408,0.346753,0.226519,0.205982,14.849,57.8659,11.1981
1777911514003,-0.122976,0.828624,0.372832,0.257566,0.188035,0.235304,15.8524,58.9068,10.3081
1777911514013,-0.091988,0.820572,0.363804,0.2426,0.153826,0.212396,16.6551,59.7394,9.48125
1777911514074,-0.064904,0.842532,0.37454,0.167769,0.223159,0.125959,17.2637,60.4839,9.0214
1777911514134,-0.05002,0.859856,0.353312,0.0303244,0.16024,0.150088,17.7561,60.9843,8.48272
1777911514197,-0.030012,0.892064,0.344284,0.056897,0.233544,0.00378585,18.0269,61.5303,7.78018
1777911514274,-0.028548,0.887428,0.401624,-0.168207,0.0762462,-0.0169836,18.2883,61.8998,7.33014
1777911514284,-0.02928,0.91988,0.401624,-0.061176,0.131721,-0.0572385,18.5535,62.1955,6.97011
1777911514293,-0.031232,0.931348,0.391132,-0.0289167,0.125003,0.00288241,18.7656,62.432,6.68209
1777911514356,-0.030988,0.918416,0.371368,0.00280044,-0.00652685,-0.0350037,18.7897,62.7836,6.54967
