timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1777909666764,0.141276,1.03602,0.40138,-0.0174097,-0.147524,0.178678,0.6524,13.734,-0.2604
1777909666773,0.132492,1.0514,0.374784,-0.0558942,-0.209527,0.192728,1.17432,24.7212,-0.46872
1777909666781,0.137616,1.05994,0.35014,-0.137139,-0.259312,0.224493,1.59186,33.511,-0.635376
1777909666808,0.145424,1.07848,0.355996,-0.226631,-0.276722,0.261145,1.92588,40.5428,-0.768701
1777909666870,0.241804,1.12435,0.477996,0.351858,0.130114,0.404698,2.59631,46.2914,-0.427361
1777909666930,0.3477,0.938912,0.517768,0.0675006,-0.472504,0.609338,3.59185,51.0079,-0.913089
1777909666990,0.381128,0.861808,0.30622,0.700662,-0.927904,0.3598,4.74108,54.91,-1.42207
1777909667067,0.587796,0.704916,0.367464,0.151495,-0.380569,0.661567,6.11406,58.1436,-2.56286
1777909667126,0.378444,0.755912,0.149572,0.160047,-1.15301,0.018326,7.82845,60.7696,-3.41389
1777909667185,0.410408,0.671732,0.044896,0.00366519,-0.878424,-0.131336,9.48556,62.9377,-4.02471
1777909667246,0.385764,0.69906,0.126636,-0.228769,-0.443488,-0.099571,10.7496,64.7842,-4.19417
1777909667305,0.419436,0.621956,0.209596,-0.682336,-0.795041,-0.200364,12.0409,66.2221,-4.68253
1777909667382,0.427,0.745176,0.223504,-0.245873,-0.224493,-0.51221,12.9731,67.2437,-4.61123
1777909667441,0.358924,0.80276,0.298412,-0.368657,-0.0216857,-0.68814,13.6629,68.1338,-4.52898
1777909667501,0.346724,0.782264,0.322812,-0.521679,-0.460592,-0.699441,13.9963,68.6442,-4.34838
1777909667560,0.260104,0.792756,0.302804,-0.485638,-0.407142,-0.858571,13.9663,69.0302,-3.99671
1777909667619,0.238144,0.760548,0.339404,-0.822836,-0.0561996,-1.175,13.8246,68.9749,-3.51097
1777909667696,0.185684,0.754692,0.41358,-0.872316,-0.219301,-0.905913,12.9721,68.5499,-2.39157
1777909667756,0.05612,0.924516,0.421632,-0.449597,0.420275,-1.05069,12.0437,67.8628,-1.52406
1777909667815,-0.085644,0.816424,0.511912,-0.813672,0.152716,-1.11788,10.8025,67.201,-0.664847
1777909667874,0.026596,0.78324,0.341112,-0.565356,0.783435,-0.939816,9.32243,66.4588,0.518123
1777909667951,-0.163968,0.79178,0.576328,-0.939816,0.974941,-1.67011,7.00714,65.1986,1.1649
1777909668010,-0.275964,0.751276,0.578524,-1.05038,0.50488,-0.969749,4.35411,63.5801,2.10232
1777909668070,-0.33794,0.712236,0.495076,-0.899805,0.561996,-0.768468,2.03009,61.9325,3.03425
1777909668133,-0.54778,0.660752,0.652456,-0.813672,0.925461,-1.26419,-0.909927,59.444,3.805
1777909668159,-0.599996,0.693936,0.714188,-0.750143,0.95692,-0.880257,-3.26194,57.4532,4.4216
1777909668222,-0.567544,0.679296,0.717604,-1.12644,0.409585,-0.0794125,-5.43475,55.4966,4.76928
1777909668281,-0.624152,0.764208,0.689788,-1.02534,0.736704,0.029627,-7.1562,53.2872,5.26863
1777909668341,-0.602436,0.67954,0.75396,-0.906219,0.690278,0.504575,-9.06536,51.1614,5.5925
1777909668400,-0.5734,0.759084,0.775188,-0.721432,0.866512,0.940427,-10.6263,49.5559,5.65
1777909668477,-0.50142,0.744932,0.831064,-0.559858,0.637132,1.42301,-12.099,48.0979,5.3656
1777909668536,-0.351116,0.687836,0.810812,-0.33903,0.507018,1.48685,-13.07,47.8443,5.48528
1777909668596,-0.247416,0.732244,0.818864,-0.127671,0.3598,1.53388,-13.7012,47.8151,5.01262
1777909668656,-0.159576,0.680028,0.797636,-0.0824668,-0.228158,1.45508,-14.0046,48.2397,4.8893
1777909668716,-0.060268,0.641476,0.695888,0.0781908,-0.471283,1.30847,-13.9561,49.0105,4.93624
1777909668794,-0.018788,0.647576,0.665876,0.0259618,-0.615141,1.0177,-13.3797,49.9744,5.16139
1777909668855,0.043432,0.638304,0.666852,0.022602,-0.433714,0.70952,-11.7929,51.1207,5.28831
1777909668865,0.038796,0.655628,0.660264,0.0842994,-0.373544,0.68478,-10.5235,52.0378,5.38985
1777909668925,0.093452,0.615124,0.64294,0.362243,-0.160963,0.684475,-9.30643,53.0682,6.07028
1777909668985,0.108336,0.641964,0.641964,0.0992656,-0.216552,0.430355,-8.11434,54.1278,6.21422
1777909669063,0.118096,0.685152,0.564616,0.186619,0.127671,0.0418443,-6.56147,55.2554,6.36858
1777909669123,0.088572,0.715164,0.568276,0.201891,0.31093,0.0531453,-5.47598,56.2751,6.44446
1777909669183,0.112972,0.781044,0.691008,0.139277,0.107512,-0.236099,-4.60758,57.1077,6.40997
1777909669243,0.06954,0.741028,0.69296,-0.0332922,0.239765,0.0207694,-3.91287,57.7122,6.16958
1777909669303,0.030744,0.785924,0.581452,-0.145997,0.0467312,0.171042,-3.32349,58.1341,5.96606
