timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1777909728692,-0.069784,0.997716,0.21472,0.0232129,0.234878,0.151495,0.3444,13.258,-0.0364
1777909728701,-0.08174,1.00113,0.22204,0.0103847,0.204029,0.14111,0.61992,23.8644,-0.06552
1777909728761,-0.050508,0.95038,0.188368,-0.0781908,0.0788016,0.0959058,0.941136,32.2991,0.104384
1777909728838,-0.056608,0.89182,0.208132,-0.0213803,0.245262,0.166461,1.42211,39.0693,0.237507
1777909728847,-0.075396,0.845216,0.19276,-0.0250455,0.248011,0.17318,1.71169,44.4742,0.408406
1777909728906,-0.018056,0.750788,0.160552,-0.0977384,0.389732,-0.00885755,2.01615,48.7702,0.203525
1777909728966,-0.060512,0.747616,0.152744,-0.124617,0.304822,-0.233351,2.21492,52.291,0.0844197
1777909729025,-0.056852,0.709308,0.122732,-0.209832,0.587652,-0.360105,2.21154,55.0908,0.0871358
1777909729102,-0.113948,0.737368,0.14274,-0.643547,0.302684,-0.232129,1.97363,57.1178,0.346909
1777909729161,-0.080276,0.79178,0.403332,-0.921796,0.919352,-0.533896,1.1337,58.2019,0.795527
1777909729221,-0.200324,0.815204,0.379908,-1.02106,0.689361,-0.82986,0.0641623,58.8731,1.35602
1777909729282,-0.332328,0.817156,0.420412,-1.30267,0.52229,-0.504575,-0.97067,58.9061,1.93042
1777909729359,-0.332572,0.870836,0.55998,-0.856128,0.955699,-0.675006,-2.21294,58.3949,2.79033
1777909729418,-0.394548,0.873764,0.643672,-0.996321,0.789543,-0.795347,-4.05795,57.3195,3.33267
1777909729477,-0.546072,0.95892,0.611708,-0.909884,0.506102,-0.866207,-5.86996,55.8208,4.02973
1777909729536,-0.569008,0.91378,0.735172,-0.493579,0.283747,-0.501215,-7.54917,54.1066,4.63219
1777909729596,-0.397232,0.882304,0.8479,-0.675617,0.2755,-0.455705,-9.20053,52.5729,4.87615
1777909729673,-0.649772,1.00796,0.666364,0.360716,0.373544,-0.0305433,-10.8576,51.1051,5.09652
1777909729734,-0.60268,0.987712,0.695156,0.293215,-0.0213803,0.537561,-12.1385,49.8245,5.27562
1777909729796,-0.493124,0.916708,0.62708,0.864374,0.0125227,0.693332,-13.0456,49.2536,5.63729
1777909729805,-0.48556,0.903776,0.610732,0.87201,-0.0601702,0.70952,-13.7713,49.3009,5.50663
1777909729882,-0.480192,0.874496,0.603168,0.780686,-0.128282,0.841161,-13.9486,49.7979,5.21171
1777909729891,-0.430416,0.82106,0.582428,0.739758,-0.3036,0.977384,-14.0905,50.1955,4.97577
1777909729950,-0.2867,0.781044,0.45628,0.807869,-0.52229,0.971276,-13.6888,50.956,4.83741
1777909730009,-0.28426,0.76128,0.436516,0.929431,-0.339641,0.8152,-12.5778,52.4884,4.34593
1777909730069,-0.185928,0.808128,0.36966,0.918436,-0.475864,0.82925,-11.2691,54.1119,4.06754
1777909730095,-0.174948,0.835212,0.377956,0.879646,-0.569937,0.80512,-10.2221,55.4107,3.84484
1777909730154,-0.118096,0.889868,0.304268,0.465785,-1.03542,0.627664,-9.02605,56.853,3.58547
1777909730213,-0.0976,0.875228,0.27694,0.315817,-0.952339,0.546724,-6.87084,58.494,3.31077
1777909730273,-0.05246,0.853268,0.289628,0.479835,-0.699746,0.236099,-4.77707,59.8684,2.78302
1777909730350,-0.000488,0.817156,0.170068,0.431576,-0.538783,0.288634,-2.79966,61.1247,2.40842
1777909730410,-0.090036,0.945988,0.114436,0.461509,-0.148746,0.43402,-0.814524,62.1242,1.69153
1777909730469,-0.032208,0.937692,0.11834,0.435852,0.280387,0.520152,0.97518,63.2821,1.02843
1777909730529,0.024156,0.929884,0.096868,0.382402,0.26145,0.409585,2.62534,64.2701,0.293541
1777909730588,-0.040748,0.942328,0.03538,0.463036,0.620639,0.828333,4.07428,65.2117,-0.543567
1777909730665,0.134444,0.870348,0.062952,0.0842994,0.650266,0.908662,5.46302,66.077,-1.55765
1777909730724,0.185196,0.863028,0.077348,0.137139,0.737925,0.756557,6.96042,66.8476,-2.54532
1777909730783,0.240096,0.846924,0.081252,-0.0552833,0.667676,0.795652,8.35993,67.4921,-3.29346
1777909730843,0.325252,0.820816,0.1647,-0.167988,0.793209,0.689972,9.81555,68.0412,-3.72117
1777909730902,0.355996,0.799832,0.133956,0.0140499,0.938289,0.652404,11.176,68.4134,-3.96253
1777909730979,0.453352,0.780556,0.185196,-0.0693332,0.969138,0.445626,12.2924,68.7839,-4.17803
1777909731038,0.45628,0.764208,0.140788,-0.131947,0.952644,0.33506,13.2191,69.0243,-4.15162
1777909731098,0.4392,0.78934,0.148108,-0.172875,1.01892,0.0244346,14.0669,69.3455,-4.1081
1777909731157,0.43676,0.718336,0.1769,-0.497855,0.993267,0.0711658,14.3307,69.3952,-4.00328
1777909731234,0.449936,0.764696,0.295972,-0.655764,0.955699,-0.117286,14.5586,69.3453,-3.90262
1777909731243,0.364292,0.732,0.293044,-0.781602,0.831082,-0.177456,14.3489,69.2887,-3.4917
1777909731302,0.423584,0.757376,0.386252,-0.813062,1.00212,-0.275195,14.1083,69.0417,-2.82976
1777909731362,0.356484,0.793488,0.34404,-0.715323,1.15056,-0.18387,13.5406,68.8442,-1.98381
1777909731422,0.297436,0.691252,0.526552,-0.994183,1.00274,-0.694248,12.6385,68.4958,-0.598645
1777909731499,0.352092,0.607072,0.743712,-1.36895,0.768468,-0.451124,11.088,67.349,0.663484
1777909731559,0.25864,0.646356,0.68686,-1.10108,0.540921,-0.757167,9.47241,66.118,2.20799
1777909731622,0.097356,0.654896,0.758108,-1.03236,0.378126,-0.994183,7.78792,64.5284,3.58639
1777909731634,0.066856,0.628544,0.744932,-1.1078,0.287412,-0.89675,6.01474,62.8255,5.03071
1777909731716,0.155428,0.612928,0.977952,-0.867123,0.447764,-1.29687,4.24339,60.9256,6.32337
1777909731725,0.011712,0.643672,0.898652,-0.625221,0.314596,-1.29839,2.82631,59.4057,7.3575
1777909731736,0.01586,0.63928,0.912072,-0.613614,0.2474,-1.1472,1.35105,57.8314,8.3948
1777909731814,0.127368,0.614392,1.07872,-0.209221,0.419054,-1.48868,-0.0755596,56.0007,9.28624
1777909731823,-0.074176,0.692716,1.00333,-0.0632246,-0.169821,-1.63651,-1.21685,54.5361,9.99939
1777909731883,-0.065392,0.674416,1.00455,0.0448986,0.110567,-1.32833,-2.43228,52.9725,10.6119
1777909731943,-0.225456,0.654652,0.828136,0.53298,-0.415999,-1.05496,-3.56142,51.5816,10.7855
1777909732003,-0.136152,0.693692,0.9638,0.400728,-0.847881,-0.917214,-4.23514,50.5809,11.07
1777909732063,-0.242292,0.767624,0.827892,0.945009,-0.28619,-1.0571,-4.74611,49.8307,11.2388
1777909732141,-0.188124,0.740784,0.6954,0.895834,-0.570243,-0.669508,-5.00369,49.2586,11.1359
1777909732150,-0.141276,0.728828,0.703452,0.692416,-0.49419,-0.755029,-5.06415,49.1481,11.0535
1777909732210,-0.216672,0.7198,0.653432,0.640798,-0.669508,-0.832915,-5.03412,49.1884,10.9064
1777909732270,-0.268156,0.777628,0.612928,0.759916,-0.481973,-0.629497,-4.9205,49.3608,11.0463
