timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1774527303271,0.010248,-0.061732,0.953552,-3.15108e-05,0.00194826,-0.00202443,6.6556,7.7924,8.6016
1774527303289,0.010248,-0.000732,0.95282,-0.00155867,-0.000495207,-0.001719,11.9801,14.0263,15.4829
1774527303302,0.00854,-0.000732,0.953064,-0.000931879,-0.000486884,-0.000789211,16.2397,19.0135,20.9879
1774527303363,0.00976,0.000976,0.952332,-0.000315619,0.000121899,-0.00257774,19.6305,23.1768,25.6355
1774527303422,0.009272,-0,0.951844,0.000590584,0.00222195,-0.00193382,22.36,26.4514,29.2304
1774527303482,0.008296,0.000244,0.9516,0.000580658,8.2504e-05,-0.00280222,24.5548,29.1439,32.1035
1774527303541,0.010004,0.000488,0.953796,-0.00243209,0.000381418,-0.00185422,26.5011,31.1131,34.3124
1774527303601,0.009272,-0.000244,0.95404,1.11759e-05,0.000375006,-0.00362486,27.7836,32.6101,36.1663
1774527303611,0.009028,0.000488,0.953796,1.09882e-05,0.000669003,-0.00176214,28.8097,33.8077,37.8371
1774527303671,0.010248,0.00122,0.952088,1.08033e-05,0.00245955,-0.00503581,29.6698,34.8218,39.0141
1774527303730,0.009272,0.000732,0.951356,-0.000890276,0.000316121,-0.00134759,30.4138,35.6386,40.1376
1774527303789,0.008784,0.000488,0.953796,0.00152708,0.00121171,-0.00192554,30.9643,36.2193,40.7817
1774527303849,0.009272,-0,0.952576,0.00120112,0.000891041,-0.00249377,31.259,36.7566,41.3222
1774527303908,0.010492,-0.000244,0.952576,0.000280031,0.00297816,-0.00365306,31.674,37.2425,41.7909
1774527303917,0.009516,-0.002928,0.95404,-0.000625573,-7.48858e-05,-0.00178987,31.9276,37.4688,42.166
1774527303926,0.009516,0.000244,0.952576,-0.00031476,0.00142787,-0.00206009,32.1305,37.6498,42.466
1774527303985,0.007808,0.000488,0.953064,0.000591428,0.000502974,-0.00142486,32.2592,37.9739,42.4904
1774527304045,0.008052,0.000976,0.953064,-0.00152061,0.000494521,-0.00170122,32.4125,38.1435,42.7507
1774527304107,0.008784,-0.000244,0.953064,-0.000293853,0.00048621,-0.00257352,32.5912,38.2344,43.1046
1774527304116,0.010004,0.000976,0.952332,0.000912283,0.000778336,-0.00313087,32.5774,38.4303,43.3876
1774527304176,0.00854,-0.000244,0.951844,0.000296351,0.00196645,-0.00307825,32.7399,38.6487,43.5945
1774527304235,0.008784,0.000976,0.954284,-0.000909826,0.00103251,-0.00302651,32.8083,38.7057,43.4408
1774527304295,0.008784,-0,0.9516,6.36233e-06,0.00161575,-0.00207475,33.0311,38.785,43.2871
1774527304354,0.009272,0.000976,0.954528,-0.000294044,0.0024895,-0.00173958,33.0917,38.7868,43.458
1774527304413,0.009028,0.000244,0.950624,0.00121239,4.52586e-05,-0.000208847,33.1121,38.7826,43.5388
1774527304472,0.010004,0.000976,0.95404,-0.000910077,0.000945397,-0.00170683,33.1453,38.8745,43.7575
1774527304481,0.008296,0.00122,0.954528,-0.00119508,0.00122981,-0.00167815,33.1718,38.948,43.9324
1774527304490,0.008052,0.000732,0.95282,2.62014e-05,0.000608541,-0.00315144,33.1931,39.0068,44.0723
1774527304551,0.009272,0.061488,0.951356,-0.000890096,0.000913974,-0.00101341,33.0757,39.1322,43.9322
1774527304611,0.009028,0.000244,0.952576,-0.000279231,0.00274657,-0.000707978,33.0433,39.3558,44.1674
1774527304670,0.007564,0.000976,0.950624,-0.00117544,0.00209981,-0.00129668,32.9335,39.4506,44.1007
1774527304730,0.009272,-0,0.954284,-0.00115568,0.00176422,-0.00247608,32.9912,39.5881,44.1538
1774527304739,0.008784,0.000488,0.952332,-0.00113626,-0.000367526,-0.00273477,33.0373,39.6981,44.1962
