timestamp_ms,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1777910672069,B,-0.017812,0.894748,0.39528,-0.0919352,0.126449,0.00335976,2.7132,12.3844,1.3076
1777910672129,B,-0.001708,0.894992,0.379664,-0.126426,0.0354353,-0.000600599,4.92296,22.2919,2.68408
1777910672189,B,-0.020984,0.917196,0.341112,-0.0336108,0.0444493,-0.0639537,6.65157,30.2347,3.38486
1777910672248,B,-0.017568,0.920612,0.375272,-0.100013,0.0322909,-0.0304465,8.11845,36.6338,3.92589
1777910672326,B,-0.007808,0.952332,0.418704,-0.0245708,-0.00344469,0.0605724,9.51036,41.8426,4.59671
1777910672336,B,-0.001952,0.949648,0.41602,-0.131064,-0.0484317,0.0865814,10.4559,46.0097,5.13337
1777910672345,B,0.004636,0.938668,0.414556,-0.136369,-0.0725426,0.112754,11.2123,49.3434,5.5627
1777910672406,B,0.014152,0.908168,0.399916,0.116673,0.0719194,-0.137189,11.8735,51.8255,5.72136
1777910672483,B,-0.055876,0.904264,0.256444,0.183257,-0.0869056,-0.161012,12.4808,54.0296,5.73349
1777910672548,B,-0.10858,0.882304,0.267668,-0.0311567,0.212418,-0.0623575,12.7706,55.8433,5.76279
1777910672557,B,-0.110532,0.874008,0.284016,-0.0733064,0.253652,-0.0666336,13.0025,57.2942,5.78623
1777910672567,B,-0.10858,0.866444,0.29646,-0.0931595,0.278392,-0.153987,13.188,58.455,5.80499
1777910672627,B,-0.1281,0.870104,0.312076,-0.0623108,0.334591,-0.159791,13.426,59.4116,5.91799
1777910672704,B,-0.17812,0.845948,0.324032,-0.222357,0.472036,-0.209271,13.2916,60.1657,6.19319
1777910672764,B,-0.184464,0.89304,0.313296,-0.289247,0.715466,-0.193999,13.0217,60.4833,6.27895
1777910672824,B,-0.195688,0.856684,0.354776,-0.364689,0.889257,-0.380924,12.6825,60.5359,6.55196
1777910672884,B,-0.265228,0.971608,0.377956,-0.37263,1.11619,-0.272495,11.4872,60.5667,6.93277
