timestamp_ms,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1777911092625,B,0.031964,0.996008,-0.137128,-0.0177151,0.139583,-0.0284052,4.0068,14.5236,-2.9316
1777911092685,B,0.006588,0.981124,-0.121512,-0.00366519,0.190895,-0.0653626,7.30184,26.2993,-5.25168
1777911092745,B,0.017324,0.880352,-0.169824,0.213192,0.136528,0.0103847,10.0331,35.5966,-7.15814
1777911092822,B,0.022448,0.704916,-0.22936,0.102931,0.332616,-0.0601702,12.0333,42.9505,-8.62172
1777911092831,B,0.03172,0.619028,-0.258396,-0.0781908,0.366214,-0.153938,13.7454,48.94,-9.98857
1777911092840,B,0.027816,0.610488,-0.270596,-0.198531,0.348193,-0.218995,15.1151,53.7316,-11.0821
1777911092849,B,0.021472,0.60878,-0.279868,-0.332922,0.325286,-0.359189,16.2109,57.5649,-11.9568
1777911092926,B,-0.009272,0.59048,-0.14762,-1.0006,0.288023,-0.106901,16.8971,60.7939,-12.2927
1777911092935,B,0.05612,0.518744,-0.175192,-1.10414,0.240681,-0.133474,17.2837,63.2595,-12.3289
1777911092994,B,-0.1159,0.564372,-0.03294,-1.11452,0.642325,-0.411723,17.5258,65.0416,-11.9296
1777911093054,B,-0.059292,0.633912,0.165188,-1.87994,0.2755,-0.194866,17.389,66.3497,-10.9128
1777911093113,B,-0.020496,0.774456,0.599996,-2.52684,0.481667,-0.468534,17.1228,66.9314,-9.20907
1777911093190,B,-0.067588,0.911096,0.621468,-1.74738,0.888198,-0.933708,16.9098,66.7919,-6.29206
1777911093199,B,-0.107848,1.09361,0.720044,-2.09985,0.41997,-0.858266,16.2523,66.2323,-4.20205
1777911093259,B,-0.110776,1.1185,0.892064,-1.90712,0.725402,-0.547946,15.6422,65.023,-1.36524
1777911093319,B,-0.251564,1.3032,0.8113,-1.27671,0.146302,-0.960586,14.7846,63.3108,1.15061
1777911093378,B,-0.305732,1.35932,0.8418,-0.810618,-0.150273,-0.715629,13.8073,61.5155,3.64769
1777911093455,B,-0.403088,1.25123,0.798124,0.0421497,-0.0699441,-0.24007,12.7902,59.6592,5.47455
1777911093515,B,-0.37088,1.13704,0.738832,0.28222,-0.131336,0.298102,12.055,58.2917,6.85764
1777911093574,B,-0.25742,1.06213,0.695888,0.751975,0.115148,0.304211,11.59,57.4666,8.06771
1777911093633,B,-0.252296,0.955992,0.627324,1.27976,0.144164,0.499077,11.1172,57.8257,8.47017
1777911093710,B,-0.20252,0.863516,0.527772,1.35062,0.0326813,0.506407,11.0581,58.3033,8.31614
1777911093720,B,-0.172264,0.831308,0.474092,1.33749,-0.0662789,0.511905,11.0109,58.6855,8.19291
1777911093779,B,-0.225456,0.800564,0.497516,1.11941,0.0476475,0.493274,11.0739,59.4448,7.68833
1777911093839,B,-0.114436,0.809836,0.337696,0.916603,-0.237627,0.488081,11.3987,60.601,6.81146
1777911093898,B,-0.113948,0.793976,0.293532,1.34421,0.160963,0.458149,12.2242,61.5932,5.58917
1777911093975,B,-0.071248,0.849608,0.116632,1.04366,0.221744,0.0959058,13.0806,62.8014,3.97574
1777911094035,B,-0.043432,0.770796,0.042212,0.580933,0.153022,0.478613,13.676,64.1487,1.88699
1777911094094,B,-0.092476,0.893284,0.006588,0.661567,-0.109345,0.558025,14.6172,65.3946,0.182391
1777911094153,B,-0.002928,0.827648,0.027816,0.605062,0.347582,0.336281,15.8126,66.3129,-1.53409
1777911094230,B,0.015372,0.848144,-0.054412,0.47678,0.451429,0.408669,16.7241,67.1819,-3.19007
1777911094239,B,-0.00122,0.87596,-0.036844,0.671952,0.598648,0.111177,17.4533,67.8771,-4.59326
1777911094299,B,-0.04026,0.95404,-0.183244,0.529926,0.445015,0.238237,18.0814,68.6013,-6.09381
1777911094358,B,-0.05856,0.904508,-0.164212,0.6072,1.10047,0.354302,18.5055,69.175,-7.31944
1777911094417,B,0.001464,0.887428,-0.217404,0.428827,1.03114,0.244346,18.9288,69.8412,-8.66116
1777911094494,B,0.080764,0.841068,-0.139812,0.126144,1.44164,0.489303,19.5027,70.307,-9.52172
1777911094554,B,0.189588,0.766648,-0.145668,-0.00580322,1.45691,0.824057,20.1857,70.5956,-10.0926
1777911094613,B,0.395768,0.717604,-0.127124,-0.373544,1.36437,0.734871,20.8834,70.8825,-10.4065
1777911094673,B,0.540216,0.70272,-0.050508,-0.574519,1.17775,0.340863,21.5367,71.0504,-10.6156
1777911094732,B,0.496052,0.782264,0.025132,-0.828333,0.968527,-0.341474,22.0258,70.9719,-10.2565
1777911094809,B,0.48312,0.754448,0.144692,-1.09284,0.729373,-0.145997,22.165,70.9091,-8.97797
1777911094868,B,0.514596,0.955748,0.248148,-0.945009,0.361632,-0.352469,21.9964,70.3325,-7.65557
1777911094928,B,0.53192,0.977952,0.33306,-0.870788,-0.125227,-0.440128,21.6599,69.8544,-6.20286
1777911094987,B,0.504836,0.970144,0.371368,-0.761749,-0.403782,-0.331394,21.2731,69.1415,-4.68509
1777911095047,B,0.512644,0.90768,0.370392,-0.615141,-0.815811,-0.47281,21.1653,68.616,-3.25807
1777911095124,B,0.364536,0.959408,0.379908,-0.298408,-1.00854,-0.759611,21.2359,67.91,-2.02126
1777911095183,B,0.250588,0.920368,0.402112,-0.264199,-1.30328,-1.06352,21.2419,67.3004,-1.2306
1777911095243,B,0.163236,0.927688,0.386496,-0.202196,-1.36681,-0.851852,21.2971,66.8911,-0.351683
1777911095302,B,-0.017812,0.976976,0.34892,-0.0558942,-1.35734,-1.03481,21.4757,66.6421,-0.0153468
1777911095379,B,-0.183244,1.01846,0.205936,0.0675006,-1.24922,-0.763276,21.5289,66.4541,0.0885226
1777911095438,B,-0.327204,1.0714,0.142008,0.514349,-0.415083,-0.64599,21.5044,66.4885,0.0624181
1777911095448,B,-0.337452,1.08629,0.121268,0.496328,-0.375377,-0.572686,21.4847,66.516,0.0415345
1777911095456,B,-0.335744,1.0897,0.101992,0.46212,-0.329562,-0.474031,21.4689,66.538,-0.257972
1777911095484,B,-0.322324,1.09824,0.091012,0.408974,-0.276417,-0.366214,21.4956,66.7852,-0.497578
1777911095493,B,-0.303536,1.06799,0.075396,0.218995,-0.125227,-0.0213803,21.5168,66.9829,-0.689262
1777911095555,B,-0.218136,1.0331,0.095648,0.0745256,0.414167,0.196393,21.5563,67.1916,-0.71101
1777911095615,B,-0.144204,1.02773,0.132736,0.114232,0.766025,0.386678,21.6718,67.2688,-1.05881
1777911095691,B,-0.083448,0.992348,0.17812,0.178067,1.20218,0.460287,21.6019,67.4819,-1.35105
1777911095751,B,0.00976,0.934764,0.167872,0.222355,1.43492,0.322231,21.5515,67.6467,-1.50924
1777911095810,B,0.087596,0.888404,0.187392,0.0940733,1.50823,0.473115,21.2648,67.941,-1.64139
1777911095870,B,0.146156,0.869372,0.194956,-0.0946841,1.57573,0.62858,21.0018,68.0308,-1.52031
1777911095929,B,0.188124,0.8052,0.163236,-0.109345,1.48379,0.534202,20.8083,68.0186,-1.30585
1777911096006,B,0.262788,0.7625,0.191784,-0.0846048,1.52411,0.406836,20.3622,67.8633,-1.36388
1777911096015,B,0.287432,0.732976,0.20252,-0.390648,1.33474,0.444099,20.0054,67.7502,-1.2871
1777911096074,B,0.31964,0.70882,0.217404,-0.661262,0.989602,0.10232,19.3951,67.6038,-0.802883
1777911096134,B,0.323544,0.830088,0.36112,-0.628886,0.964862,-0.222966,18.7669,67.1618,-0.169106
1777911096194,B,0.34038,0.804468,0.326716,-0.898277,0.351248,-0.237627,17.9563,66.7635,0.771915
1777911096272,B,0.310856,0.822036,0.36844,-0.840856,0.29291,-0.67409,17.1062,66.176,2.07913
1777911096282,B,0.27206,0.845216,0.437004,-0.830777,0.00610865,-0.681115,16.387,65.5268,3.12491
1777911096342,B,0.279136,0.823256,0.412848,-1.02442,-0.12706,-0.665232,15.6436,64.5874,4.10432
1777911096401,B,0.181048,0.966972,0.675392,-0.950201,-0.231518,-0.403477,14.8249,63.4831,5.21266
1777911096461,B,0.21838,0.904996,0.758352,-0.766941,-0.51893,-0.884533,14.1251,62.4093,6.27013
1777911096539,B,0.210084,0.909144,0.714188,-0.770301,-1.00548,-0.775493,13.6885,60.9958,7.6089
1777911096600,B,0.122488,0.908656,0.764696,-0.133779,-1.08642,-1.00671,13.8544,59.8315,8.55952
1777911096660,B,0.130296,0.796904,0.626836,-0.177151,-1.41263,-0.7871,14.0599,58.7432,9.31722
1777911096720,B,0.004392,0.78568,0.659532,0.0305433,-1.29015,-0.930348,14.6891,57.8054,9.88417
1777911096780,B,-0.029768,0.811056,0.636596,0.0531453,-1.37933,-1.07054,15.9149,57.2847,10.3237
1777911096839,B,0.003416,0.782996,0.61976,-0.0681115,-1.08306,-0.63927,17.0915,56.9633,10.5494
1777911096917,B,-0.05856,0.808128,0.557784,-0.00549779,-1.02778,-0.711047,18.4416,56.6503,10.7551
1777911096926,B,-0.074176,0.825208,0.550464,0.164628,-0.74831,-0.723264,19.5217,56.5398,10.3877
1777911096936,B,-0.086132,0.823988,0.55144,0.202196,-0.667981,-0.731511,20.5482,56.4515,10.0938
1777911096996,B,-0.14762,0.87474,0.460184,0.267559,-0.446237,-0.548557,21.3301,56.6664,10.0406
1777911097056,B,-0.092232,0.83082,0.447984,0.114232,-0.13042,-0.229991,22.0509,56.9279,9.99808
1777911097083,B,-0.055388,0.932812,0.430904,0.0577268,-0.105985,-0.170431,22.6723,57.2043,9.73727
1777911097143,B,-0.034892,0.837164,0.526064,0.0540616,0.193339,-0.0375682,23.3543,57.4759,9.55381
1777911097203,B,0.055144,0.854,0.491416,-0.112399,0.0568105,-0.0607811,23.8494,57.6707,9.18865
1777911097263,B,0.09028,0.846436,0.509472,-0.0285284,0.0558557,-0.0885883,24.0607,57.8041,8.95812
1777911097322,B,0.101748,0.821304,0.467992,-0.0328538,0.137499,-0.0480605,24.241,57.8829,8.8577
