timestamp_ms,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1777910372568,C,-0.018056,1.037,-0.03172,-0.236099,0.0381791,0.0265726,0.994,14.35,-1.722
1777910372627,C,0.015372,1.06555,0.026596,-0.352469,0.0778853,0.122173,2.0524,25.7292,-2.9176
1777910372687,C,0.05246,1.02431,-0.013176,-0.372322,0.214719,0.472504,3.05592,34.7766,-3.59408
1777910372746,C,0.101016,1.07824,0.054168,0.00549779,0.345444,0.21869,3.92594,42.188,-4.26686
1777910372823,C,0.092232,1.088,0.016836,0.157909,0.210749,0.36377,4.93555,48.1564,-5.04589
1777910372882,C,0.169092,1.01406,0.071248,0.0980439,-0.239154,0.308792,6.03444,52.8696,-5.55431
1777910372942,C,0.2379,0.97356,0.000732,0.280387,-0.336892,0.425773,7.26075,56.7464,-6.16825
1777910373004,C,0.228872,0.904264,-0.008052,0.280387,-0.3036,0.169821,8.4154,60.0384,-6.5222
1777910373082,C,0.23058,0.863028,-0.056608,0.155465,-0.477697,0.109956,9.37832,62.6271,-7.32056
1777910373142,C,0.210572,0.87596,-0.111996,0.101709,-0.410501,-0.111788,10.4959,64.7541,-8.28965
1777910373201,C,0.187392,0.874252,-0.051728,-0.0293215,-0.520763,0.0137445,11.4179,66.4333,-8.84932
1777910373260,C,0.122732,0.89548,-0.040016,0.0916298,-0.37446,-0.0668897,12.3067,67.7542,-9.03666
1777910373319,C,0.150548,0.883036,-0.046848,0.0348193,-0.389732,-0.147829,13.085,69.0014,-9.54772
1777910373396,C,0.088328,0.912804,-0.099064,0.0354302,-0.539089,-0.0723875,13.6516,69.9095,-9.88378
1777910373456,C,0.059048,0.91744,-0.088572,0.278249,-0.166155,-0.401949,14.0713,70.6248,-10.189
1777910373515,C,0.055632,0.874496,-0.166896,0.283441,-0.216246,-0.519235,14.3118,71.2754,-10.7132
1777910373575,C,0.006344,0.904752,-0.207156,0.130114,-0.240375,-0.631024,14.2802,71.7512,-11.295
1777910373651,C,-0.010736,0.946232,-0.234728,-0.158214,-0.354913,-0.778242,13.695,72.2157,-11.906
1777910373711,C,-0.098088,0.972096,-0.171044,-0.109956,-0.145386,-0.524733,13.0196,72.5594,-12.2772
1777910373770,C,0.000976,0.922808,-0.148596,-0.107207,-0.28558,-0.540921,12.2441,72.9631,-12.3277
1777910373829,C,-0.146888,0.962336,-0.146888,-0.0290161,-0.264505,-0.741896,11.6125,72.9725,-12.427
1777910373888,C,-0.083692,0.900116,-0.125172,-0.34972,-0.525344,-0.734871,10.5584,72.98,-12.68
1777910373965,C,-0.238144,0.897432,-0.15616,-0.0403171,-0.224798,-0.488081,9.2671,73.014,-12.776
1777910374025,C,-0.248392,0.954284,-0.16348,-0.283136,-0.379958,-0.544892,8.23408,72.9684,-12.5952
1777910374085,C,-0.335012,0.998936,-0.123952,-0.401644,-0.353996,-0.56108,7.35166,72.7695,-12.0782
1777910374145,C,-0.36478,0.884744,-0.061,-0.735176,-0.502742,-0.461814,6.34893,72.196,-11.1941
1777910374204,C,-0.381616,0.929152,0.000244,-0.652099,-0.22602,-0.45204,5.34514,71.5692,-10.6129
1777910374282,C,-0.352824,0.922808,0.095892,-0.667676,-0.2474,-0.388816,4.53652,71.1014,-9.61592
1777910374343,C,-0.450668,0.896944,0.091988,-0.457844,0.0794125,-0.493274,3.58161,70.3799,-8.34514
1777910374403,C,-0.508984,0.871812,0.087596,-0.676533,0.0595594,-0.332922,2.87369,69.6011,-7.13251
1777910374463,C,-0.475556,0.840092,0.218624,-0.760833,0.000305433,-0.369573,2.10015,68.7541,-5.54081
