timestamp_ms,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1777910925749,B,0.035624,0.954528,-0.208864,-0.0259618,0.0879646,-0.0103847,3.4356,14.8092,-2.7776
1777910925808,B,0.042212,0.91378,-0.218136,-0.0603602,0.13063,-0.0450449,6.19528,26.5726,-5.11168
1777910925867,B,0.044652,0.905972,-0.22082,-0.0398263,0.126333,-0.117861,8.30223,35.9328,-6.90894
1777910925927,B,0.016836,0.846924,-0.209352,0.0319504,0.220711,0.0284411,10.0662,43.5219,-8.72476
1777910926004,B,0.135908,0.714676,-0.221308,-0.0957204,0.313257,-0.373508,11.4493,49.7219,-9.6706
1777910926063,B,-0.007808,0.884256,-0.16348,-0.948794,-0.215141,-0.583951,12.4047,54.4691,-10.2621
1777910926122,B,-0.052704,0.914512,-0.136884,-0.945739,-0.201397,-0.407411,13.0681,58.1941,-10.4105
1777910926182,B,-0.101992,0.928908,-0.021228,-0.887096,0.200247,-0.60075,13.2965,61.1909,-10.07
1777910926242,B,-0.136884,0.988932,0.013664,-1.01996,0.137023,-0.171923,13.216,63.5939,-9.35238
1777910926319,B,-0.05856,1.02504,0.074664,-0.987278,0.220711,-0.368316,13.1292,65.0291,-8.5963
1777910926378,B,-0.08662,0.998204,0.130052,-1.06883,0.203913,-0.064105,13.0374,66.0093,-7.29704
1777910926438,B,-0.06466,0.982344,0.263032,-1.46009,-0.138783,0.0211107,12.7231,66.575,-5.93003
1777910926497,B,-0.087108,1.00162,0.314516,-1.28049,-0.0410444,-0.0860962,12.5837,66.6356,-4.35203
1777910926574,B,-0.0793,1.02846,0.434564,-0.972007,0.118086,-0.227817,12.6289,66.0401,-2.19362
1777910926583,B,-0.103456,1.04969,0.435296,-0.780195,0.0893753,-0.31456,12.5476,65.5637,-0.466897
1777910926642,B,-0.11956,1.04115,0.454084,-0.448801,0.203607,-0.209186,12.432,64.9305,1.04608
1777910926701,B,-0.134932,0.999668,0.44896,-0.245382,0.183143,-0.174061,12.3284,64.4352,2.35167
1777910926761,B,-0.140056,0.961604,0.447984,-0.146728,0.108923,-0.181697,11.3439,63.8822,3.63693
1777910926837,B,-0.130784,0.91378,0.447984,-0.0734238,0.0780743,-0.186584,11.2172,63.2886,4.44115
1777910926897,B,-0.149816,0.935252,0.441152,0.0319504,0.174286,-0.101062,10.9253,62.8696,5.10132
1777910926956,B,-0.154696,0.962824,0.409432,0.102885,0.0698552,-0.124589,10.7871,62.6969,5.70505
1777910927015,B,-0.1708,0.986736,0.40992,0.2162,0.0927627,-0.0909914,10.318,62.5195,6.25524
