timestamp_ms,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1776080177394,B,0.008052,0.904508,0.33428,0.0390954,0.0876592,-0.0177151,-5.2668,9.6404,-0.6076
1776080177454,B,-0.010248,0.936716,0.332328,0.00270269,0.0459458,0.0186186,-9.35704,17.3471,-1.28688
1776080177513,B,-0.0061,0.917928,0.320372,0.0206752,0.0715999,-0.00271531,-12.6124,23.4677,-1.6763
1776080177539,B,-0.005368,0.923052,0.320616,0.00441188,0.0670933,0.00333631,-15.2167,28.3642,-1.98784
1776080177548,B,0.000244,0.92842,0.327204,0.00583923,0.0716714,0.00568263,-17.1658,32.2029,-2.13067
1776080177607,B,-0.002928,0.93208,0.32818,-0.0158805,0.0194159,0.0166982,-18.8874,35.2683,-2.51934
1776080177666,B,0.017568,0.93574,0.34038,0.041143,0.0205911,0.0119131,-20.1975,37.6591,-2.68187
1776080177725,B,0.041968,0.994056,0.342088,0.0203736,0.0731255,0.143555,-21.1672,39.8069,-3.0751
1776080177802,B,0.01342,1.02529,0.342088,0.17979,-0.0184936,-0.0537524,-22.0102,41.5027,-3.33648
1776080177861,B,-0.04392,1.11044,0.38674,0.313875,0.080772,-0.0250417,-22.7462,42.8649,-3.55118
1776080177921,B,0.00976,1.01919,0.307928,0.487666,-0.0441499,0.0610903,-23.5589,44.19,-3.48215
1776080177932,B,0.016592,1.01797,0.314028,0.466286,-0.0285729,0.154553,-24.2091,45.25,-3.42692
1776080178009,B,0.039772,0.99308,0.20008,0.67337,0.0917676,-0.0919315,-24.6453,46.2492,-3.92313
1776080178068,B,0.022204,0.911828,0.17934,0.636412,0.00533015,0.00855586,-25.1567,47.3285,-4.38451
1776080178127,B,-0.047092,0.93818,0.114192,0.68406,0.0367897,-0.0830739,-25.6105,48.332,-4.92441
1776080178187,B,-0.147864,0.9516,0.086376,0.557916,0.100931,0.0516219,-26.1024,49.3308,-5.99752
1776080178195,B,-0.13664,0.942816,0.005856,0.542644,0.0981817,0.0989639,-26.4959,50.1299,-6.85602
1776080178221,B,-0.122488,0.887672,0.05002,0.521569,0.158352,0.18479,-26.8107,50.7691,-7.54282
1776080178281,B,-0.126148,0.894748,0.049776,0.367937,0.231961,0.232133,-27.0458,51.3925,-8.47305
1776080178340,B,-0.113948,0.901336,0.024644,0.301047,0.266475,0.38546,-27.1498,52.076,-9.22284
1776080178399,B,-0.042212,0.82228,0.026352,0.133059,0.348636,0.474341,-26.9363,52.634,-9.81427
1776080178476,B,0.043432,0.833748,0.010492,-0.00102571,0.366352,0.325289,-26.5974,53.2372,-10.5198
1776080178535,B,0.152012,0.845948,-0.004148,-0.21208,0.337641,0.37141,-26.2759,53.9997,-10.9107
1776080178544,B,0.1708,0.85156,0.003172,-0.236209,0.341306,0.372937,-26.0187,54.6098,-11.2233
1776080178553,B,0.195932,0.857904,0.00488,-0.253008,0.336114,0.365607,-25.813,55.0978,-11.4735
1776080178579,B,0.219112,0.858392,0.002928,-0.263392,0.323896,0.265119,-25.6484,55.4883,-11.6736
1776080178588,B,0.209596,0.885232,0.034648,-0.267058,0.30557,0.127369,-25.2759,55.6942,-11.7581
1776080178647,B,0.24156,0.967704,0.019764,-0.430464,0.166599,0.278253,-24.9163,55.7694,-11.9124
1776080178706,B,0.207644,1.0165,0.104432,-0.29027,0.142469,-0.00824294,-24.5223,55.8743,-11.8456
1776080178766,B,0.271572,0.9333,0.125416,-0.38526,0.0997088,-0.00915924,-24.207,55.8686,-11.8088
1776080178843,B,0.242048,0.998204,0.0732,-0.251786,-0.0426228,-0.1014,-23.7532,55.6793,-11.4827
1776080178851,B,0.259372,0.959408,0.08784,-0.285383,0.0248778,-0.122475,-23.5806,55.5279,-11.2217
1776080178860,B,0.260592,0.97356,0.174216,-0.303404,0.0526722,-0.160043,-23.4425,55.4067,-11.013
1776080178869,B,0.258396,0.992104,0.140788,-0.30768,0.0636678,-0.288325,-23.332,55.3097,-10.846
1776080178946,B,0.210084,1.06116,0.192028,-0.291798,-0.182816,-0.272748,-23.35,55.2546,-10.2056
1776080179005,B,0.158844,0.978928,0.221308,-0.177566,-0.317207,-0.297793,-23.4988,54.9193,-9.85568
1776080179065,B,0.06222,1.00382,0.2318,-0.137249,-0.267421,-0.331696,-23.7074,54.595,-9.71854
1776080179124,B,0.03904,0.969168,0.229848,-0.139387,-0.216414,-0.328947,-24.0199,54.1844,-9.32603
1776080179183,B,-0.049288,0.997472,0.197884,-0.0437863,-0.298881,-0.210439,-24.494,53.8671,-8.55842
1776080179210,B,-0.049044,0.969168,0.188368,-0.0477569,-0.227104,-0.148742,-24.8732,53.6133,-7.94434
1776080179269,B,-0.06832,0.990152,0.235704,0.00813727,0.00594102,-0.243731,-25.1709,53.1302,-7.77787
1776080179328,B,-0.072468,0.979416,0.203496,-0.0310384,-0.0809453,-0.0711673,-25.3699,52.699,-7.4935
1776080179388,B,-0.066124,0.9821,0.198128,0.0160296,0.0936878,-0.0819831,-25.8372,52.4156,-7.1484
1776080179464,B,-0.024644,0.976,0.224968,-0.0214769,0.0653866,0.029004,-25.8917,52.0489,-7.05992
1776080179524,B,-0.0122,0.971608,0.214964,-0.00790275,0.111735,0.06215,-26.053,51.7555,-7.08714
1776080179583,B,-0.051484,0.994788,0.225212,0.0273651,0.178025,-0.0130684,-26.2828,51.5824,-6.94091
1776080179592,B,-0.06466,1.00089,0.228628,0.0302085,0.174733,-0.0116476,-26.4666,51.4439,-6.82393
1776080179619,B,-0.066856,1.0087,0.2135,0.0260972,0.158583,0.00176133,-26.6137,51.3331,-6.73034
1776080179628,B,-0.055632,0.992836,0.204472,-0.0653321,0.152014,0.0798095,-26.7762,51.5133,-6.42027
1776080179687,B,-0.075152,0.962336,0.191784,0.217498,0.519449,-0.141324,-26.6765,51.4671,-6.63142
1776080179747,B,-0.110288,0.971608,0.171044,0.074556,0.43912,0.0627053,-26.692,51.5532,-6.95154
1776080179806,B,-0.053436,0.936472,0.193004,0.0800538,0.529223,0.0947758,-26.9452,51.6502,-7.44283
1776080179883,B,-0.043676,0.956724,0.190076,0.0149967,0.475161,0.169301,-27.1198,51.6606,-7.70426
1776080179942,B,-0.0061,0.888404,0.178364,-0.112063,0.429041,0.00192423,-27.0802,51.8256,-8.05341
1776080180001,B,0.000244,0.890844,0.163968,-0.226295,0.401552,0.0947758,-27.1998,52.0809,-8.34113
1776080180061,B,0.012444,0.914756,0.20008,-0.290131,0.497763,0.0452957,-27.217,52.0555,-8.7365
1776080180120,B,0.034892,0.896456,0.21594,-0.241261,0.502956,0.0593456,-27.1636,52.052,-8.5628
1776080180197,B,0.026596,0.941596,0.246196,-0.383898,0.100396,0.286893,-27.1937,52.1108,-8.49944
1776080180206,B,0.033428,0.94184,0.238388,-0.36374,0.130023,0.314382,-27.2178,52.1579,-8.44875
1776080180214,B,0.054412,0.938424,0.240584,-0.371987,0.171561,0.319574,-27.237,52.1955,-8.4082
1776080180223,B,0.06954,0.929152,0.251808,-0.386036,0.221958,0.309495,-27.1572,52.2424,-8.16296
1776080180250,B,0.080276,0.916952,0.28304,-0.298072,0.319085,0.14395,-27.0934,52.2799,-7.96677
1776080180311,B,0.17324,0.932812,0.338672,-0.355799,0.166064,0.28506,-26.9359,52.2483,-7.70622
1776080180370,B,0.225212,0.855708,0.295972,-0.344498,-0.10119,0.0541532,-26.6811,52.3239,-7.52017
1776080180430,B,0.184708,0.895724,0.353068,-0.340221,-0.10455,-0.250363,-26.2421,52.0539,-7.04094
1776080180456,B,0.17324,0.9455,0.38796,-0.338083,-0.240467,-0.240589,-25.8909,51.8379,-6.65755
1776080180515,B,0.140788,0.907924,0.345748,-0.444679,-0.599962,-0.28732,-25.7275,51.5643,-5.37364
