timestamp_ms,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1776080210687,C,0.029768,1.03846,0.28182,-0.135612,-0.0561996,-0.079107,-5.2052,11.1748,-0.9856
1776080210746,C,0.013908,0.961604,0.295728,-0.0766636,0.121868,0.131947,-9.42536,20.1986,-1.90568
1776080210806,C,0.068564,0.964532,0.313784,-0.240986,0.06353,0.109956,-12.8799,27.3673,-2.61374
1776080210867,C,0.066124,0.946964,0.25254,-0.0372628,-0.0406225,0.268475,-15.4251,33.0518,-3.2558
1776080210944,C,0.128588,0.88694,0.269864,0.0314596,0.156687,0.0876592,-17.2093,37.4539,-3.85344
1776080211008,C,0.113704,0.911828,0.303292,0.0458149,0.204334,0.0687223,-18.5414,41.1379,-4.09915
1776080211068,C,0.11346,0.915976,0.300608,-0.026126,0.0267266,0.026126,-19.5623,43.9619,-4.44972
1776080211078,C,0.106628,0.935252,0.286456,-0.0190804,0.0229742,0.0385998,-20.3791,46.2211,-4.73018
1776080211162,C,0.13176,0.916708,0.31476,0.00256157,0.130095,0.125939,-21.0101,48.1405,-5.14214
1776080211172,C,0.126392,0.959652,0.304024,-0.00498897,0.0306117,0.0673659,-21.4532,49.8944,-5.15531
1776080211231,C,0.143472,0.909876,0.304512,-0.0123193,0.135375,0.00322504,-21.7854,51.2863,-5.36185
1776080211291,C,0.143228,0.972584,0.28426,0.0347173,0.0669582,0.115013,-22.0343,52.2991,-5.73148
1776080211301,C,0.147864,0.966728,0.28426,0.0269266,0.0700371,0.131699,-22.2335,53.1093,-6.02718
1776080211328,C,0.13298,0.980148,0.326228,0.0108585,0.0985896,0.101257,-22.516,53.707,-6.25535
1776080211387,C,0.182268,1.05213,0.326472,0.124479,0.0442226,0.268024,-22.798,54.3588,-6.32588
1776080211447,C,0.263276,0.964288,0.328668,0.210306,-0.199207,0.397222,-22.85,54.7682,-6.2451
1776080211510,C,0.278648,0.953064,0.227652,0.329119,-0.285339,0.470525,-22.5444,55.3198,-6.41568
1776080211570,C,0.312076,0.849852,0.211304,0.355997,-0.242273,0.441509,-21.9863,55.9458,-6.44575
1776080211648,C,0.343308,0.815936,0.18056,0.398452,-0.400182,0.264358,-21.0974,56.7883,-6.4838
1776080211657,C,0.3355,0.802516,0.159088,0.31171,-0.3562,0.223736,-20.3864,57.367,-6.76344
1776080211666,C,0.33306,0.803492,0.167384,0.302547,-0.329932,0.1599,-19.8511,57.83,-6.98715
1776080211725,C,0.3355,0.767624,0.152744,0.349889,-0.211425,-0.190431,-19.2101,58.1444,-7.16892
1776080211785,C,0.301096,0.782264,0.107848,0.189537,-0.384299,-0.452187,-18.7981,58.3679,-7.71194
1776080211812,C,0.2806,0.749324,0.083204,0.222523,-0.257545,-0.513884,-18.7316,58.7315,-7.99795
1776080211873,C,0.201788,0.781044,0.126148,-0.200806,-0.270678,-0.741126,-18.8633,58.8096,-7.92156
1776080211886,C,0.194712,0.769576,0.127368,-0.287244,-0.304581,-0.746013,-18.9687,58.8721,-7.86045
1776080211914,C,0.18422,0.760304,0.127124,-0.427132,-0.363225,-0.859328,-19.3721,58.7877,-8.14476
1776080211923,C,0.191052,0.76494,0.133956,-0.39384,-0.339706,-0.873378,-19.6949,58.7201,-8.37221
1776080211932,C,0.196664,0.76128,0.147864,-0.391091,-0.3281,-0.892315,-19.9531,58.6661,-8.55417
1776080211940,C,0.190808,0.742736,0.229116,-0.433851,-0.3281,-0.930799,-20.1597,58.6229,-8.69973
1776080211967,C,0.127612,0.74176,0.1769,-0.585041,-0.44111,-1.29152,-20.7226,58.4315,-8.25899
1776080212027,C,0.041968,0.851316,0.225944,-0.76097,-0.0865026,-1.37459,-21.4136,58.0432,-7.51719
1776080212086,C,0.017812,0.774456,0.337452,-0.663537,-0.0202237,-1.05358,-22.5153,57.2454,-6.71655
1776080212145,C,-0.126148,0.828868,0.393816,-0.776852,-0.268235,-1.24906,-23.8335,56.3215,-6.30844
1776080212222,C,-0.266936,0.818376,0.416508,-0.802203,-0.429198,-1.34558,-25.9632,54.5464,-4.81995
1776080212231,C,-0.278648,0.838628,0.497516,-0.807701,-0.417592,-1.2796,-27.5157,53.1263,-3.62916
1776080212290,C,-0.363072,0.894992,0.511424,-0.910937,-0.286866,-1.04656,-28.741,51.2567,-2.46653
1776080212350,C,-0.35624,0.77348,0.55632,-0.910937,-0.339706,-0.970506,-29.962,49.3017,-0.920424
1776080212409,C,-0.469944,0.823744,0.56486,-0.959195,-0.011977,-0.596045,-30.8604,46.8474,0.672061
1776080212435,C,-0.462868,0.772992,0.670756,-0.993098,0.055829,-0.657743,-31.5791,44.8839,1.94605
1776080212495,C,-0.49166,0.772504,0.582428,-0.925903,0.0662137,-0.33093,-32.1709,42.6747,2.76084
1776080212554,C,-0.47458,0.73688,0.69662,-0.681252,0.300481,-0.635446,-32.9187,39.9834,3.04867
1776080212563,C,-0.49166,0.746396,0.692716,-0.668729,0.294983,-0.579857,-33.517,37.8303,3.27894
1776080212589,C,-0.497028,0.736636,0.663436,-0.682779,0.256804,-0.22189,-33.9956,36.1078,3.46315
1776080212649,C,-0.454572,0.651968,0.734928,-0.738673,0.284903,0.118056,-34.4065,34.4443,3.96052
1776080212708,C,-0.458232,0.587552,0.623176,-0.504101,0.415018,-0.120181,-34.444,32.7158,4.07282
1776080212768,C,-0.471408,0.6588,0.749324,-0.500436,0.493514,0.267718,-34.754,31.3387,4.13185
1776080212845,C,-0.449204,0.703452,0.765428,-0.341611,0.387834,0.821468,-35.0188,30.3097,4.69708
1776080212904,C,-0.427,0.699792,0.772748,-0.0578638,0.508175,0.751829,-35.2194,29.817,4.62007
1776080212913,C,-0.425292,0.712968,0.690276,-0.0590856,0.48374,0.898437,-35.3799,29.4228,4.55845
1776080212972,C,-0.376492,0.68198,0.79666,0.0276573,0.639511,1.08628,-35.6428,29.5274,4.37476
1776080213049,C,-0.331596,0.642208,0.706868,0.0206323,0.535969,1.09819,-35.8754,30.7759,3.89461
1776080213109,C,-0.197396,0.70394,0.699792,0.252456,0.364316,1.29061,-35.9999,31.7748,3.19689
1776080213168,C,-0.19154,0.685884,0.63318,0.356914,0.380504,1.2561,-35.7915,33.0498,3.05311
1776080213227,C,-0.15006,0.705404,0.626348,0.383792,0.266272,0.991899,-35.8264,34.445,2.99129
1776080213236,C,-0.147132,0.726632,0.609512,0.395398,0.240616,0.987012,-35.8543,35.5612,2.94183
1776080213262,C,-0.13664,0.731268,0.589504,0.360884,0.22565,1.16172,-35.5855,36.7398,2.59146
1776080213322,C,-0.067588,0.69662,0.601216,0.360579,0.166701,0.813221,-35.2304,38.1866,2.09557
1776080213381,C,-0.073444,0.69174,0.492392,0.331868,-0.0718418,0.884997,-34.6271,39.6073,1.50286
