timestamp_ms,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1777910326507,C,0.014884,0.9333,0.297436,-0.0879646,0.0870483,0.0503964,1.7332,13.034,0.8288
1777910326567,C,0.001708,0.923296,0.322324,-0.175013,0.169515,0.052229,3.32136,23.3044,1.47784
1777910326626,C,-0.05734,0.926468,0.299388,-0.159436,0.0693332,0.0384845,4.68149,31.5207,1.80947
1777910326685,C,0.044652,0.89426,0.339404,-0.178067,0.262367,0.0934624,5.75839,38.3738,2.26238
1777910326762,C,0.006588,0.928664,0.271816,-0.072693,0.218079,0.00824668,6.59751,43.5986,2.9383
1777910326771,C,0.010248,0.955504,0.286212,-0.192728,0.284663,0.0357356,7.26881,47.7785,3.47904
1777910326830,C,-0.110288,1.2444,0.261568,-0.168293,0.318566,-0.040928,7.97385,51.1392,3.83883
1777910326890,C,-0.111996,1.3198,0.46604,-0.318872,0.52962,0.827417,8.33068,53.7102,4.24427
1777910326949,C,-0.051972,1.1324,0.41968,1.12552,1.12766,0.872621,8.81214,56.1085,4.19621
1777910327026,C,0.290848,1.0004,0.567056,0.657291,0.358578,1.22387,9.39891,58.212,3.90297
1777910327085,C,0.381128,0.994544,0.4026,1.20096,0.00274889,0.682031,10.3163,60.0516,3.36318
1777910327145,C,0.314516,0.762988,0.20496,1.31367,-0.294437,0.277944,11.2911,62.1001,1.80294
1777910327204,C,0.310124,0.650504,0.158356,0.162185,-1.15392,0.81184,12.6925,63.8845,0.423153
1777910327263,C,0.345748,0.556076,0.06466,0.667676,-0.950506,0.35644,14.5304,65.34,-0.812278
1777910327290,C,0.308904,0.597068,0.023424,0.689667,-0.927904,0.261145,16.0007,66.5044,-1.80062
1777910327299,C,0.320372,0.598532,0.043188,0.572992,-0.986547,0.259312,17.3226,67.4695,-2.9413
1777910327308,C,0.335988,0.576572,0.056364,0.428827,-1.08337,0.242819,18.38,68.2416,-3.85384
1777910327334,C,0.354532,0.55022,0.056364,0.33903,-1.18172,0.189979,19.226,68.8593,-4.58387
1777910327343,C,0.42334,0.562176,0.003172,0.355524,-1.11788,-0.304516,19.9028,69.3534,-5.1679
1777910327404,C,0.238388,0.665876,-0.02684,0.0201586,-1.7428,-0.135612,20.6683,69.8383,-6.27352
1777910327464,C,0.250344,0.615856,-0.120048,0.233961,-1.22204,-0.55039,21.667,70.2767,-7.47441
1777910327523,C,0.256932,0.731024,-0.174704,-0.0653626,-1.34085,-0.54031,22.2644,70.5937,-8.61993
1777910327600,C,-0.052948,0.968436,-0.181536,-0.308487,-1.14018,-1.23273,22.7199,71.0154,-9.42155
1777910327659,C,-0.08662,0.8479,-0.149572,-1.09192,-1.28709,-1.64811,22.3115,71.4703,-9.78284
1777910327719,C,-0.159088,0.928908,0.055876,-1.3998,-0.791376,-0.802372,21.5704,71.6831,-9.59027
1777910327778,C,-0.280112,0.923784,-0.08906,-1.35551,-1.37384,-1.03053,20.7031,71.7188,-9.10581
1777910327855,C,-0.315004,0.912316,0.093696,-1.37292,-0.407753,-0.983493,19.7629,71.5179,-7.43305
1777910327914,C,-0.580232,1.07604,0.220088,-1.54915,0.144164,-0.612698,18.4283,70.6627,-5.64964
1777910327973,C,-0.482876,1.037,0.47336,-2.25654,0.521068,-0.253509,17.1871,69.5026,-3.58171
1777910328033,C,-0.419192,0.97234,0.483608,-1.44439,1.21012,-0.0537561,16.0541,68.0145,-1.16577
1777910328092,C,-0.4941,1.05945,0.398208,-0.577879,1.85886,-0.278249,14.666,66.3256,0.901384
1777910328169,C,-0.421388,0.932812,0.52094,-1.5852,1.47524,0.257174,12.7212,63.9104,2.63351
1777910328228,C,-0.391376,0.999668,0.746396,-1.12552,1.53633,0.50488,10.4374,62.0008,4.10041
1777910328287,C,-0.348188,1.07531,0.73688,-0.482278,1.2874,0.667981,8.10071,60.277,5.19552
1777910328347,C,-0.279868,0.96502,0.725168,-0.434936,0.596815,1.0177,6.06897,58.7916,6.08842
1777910328406,C,-0.167628,0.844972,0.747372,-0.244652,0.429744,1.33871,4.37638,57.6537,7.03514
1777910328483,C,-0.159088,0.79788,0.649528,0.40256,0.447459,1.09956,3.5823,57.2026,7.70851
1777910328542,C,-0.057828,0.703208,0.472384,1.445,1.13651,0.814589,3.22704,56.9984,8.06521
1777910328602,C,-0.140056,0.904996,0.612928,0.340252,0.461203,1.18874,2.43883,57.3168,7.65057
1777910328661,C,-0.081496,0.73444,0.31232,0.0836885,-0.163406,1.05863,1.79147,57.9466,7.48125
1777910328721,C,-0.005856,0.609268,0.353556,0.212276,0.219301,0.414472,2.05197,58.5345,7.1946
1777910328800,C,0.060024,0.700036,0.31598,-0.213192,0.361327,0.127976,2.65798,59.2232,6.79728
